position,total_cookies,frequency,perc_dam_total,mean,sd
S,36,35,0.972222222,9.97433485,12.22449334
C,15,13,0.866666667,8.671929634,8.784087665
A,31,21,0.677419355,5.392586648,10.13347728
BR2,33,19,0.575757576,2.635907498,6.133841516
BR3,31,7,0.225806452,1.781432554,5.725776282
BR4,17,4,0.235294118,1.065661229,2.522240083
BR5,4,0,0,0,0
