"","resi_half","area","linear"
"1","lower-10_lower_A",0.363624588160272,0.262717321313587
"2","upper-10_lower_A",0.0421164350475624,0.0199613650998068
"3","lower-10_lower_DBH",0.283118685328828,0.190217391304348
"4","upper-10_lower_DBH",0.183837102466993,0.247826086956522
"5","lower-10_lower_S",0.278939722047093,0.167539267015707
"6","upper-10_lower_S",0.193504609532531,0.210994764397906
"7","lower-11_lower_A",0.321911068083394,0.201596806387226
"8","upper-11_lower_A",0.0511252347454066,0.0369261477045908
"9","lower-11_lower_DBH",0.273768929612661,0.163673469387755
"10","upper-11_lower_DBH",0.13363260869826,0.19265306122449
"11","lower-12_lower_A",0.473804938271605,0.385555555555556
"12","upper-12_lower_A",0.255988273510136,0.166111111111111
"13","lower-12_lower_DBH",0.319453542455381,0.227441860465116
"14","upper-12_lower_DBH",0.27676333920846,0.251162790697674
"15","lower-12_lower_S",0.236497792586422,0.168571428571429
"16","upper-12_lower_S",0.405881201868451,0.316326530612245
"17","lower-13_lower_A",0.174046639231824,0.0962962962962963
"18","upper-13_lower_A",0.0220745204318006,0.08
"19","lower-13_lower_DBH",0.271927810650888,0.162307692307692
"20","upper-13_lower_DBH",0,0
"21","lower-13_lower_S",0.229671280276817,0.132352941176471
"22","upper-13_lower_S",0.00718972529563618,0.0411764705882353
"23","lower-14_lower_A",0.334793964334705,0.212592592592593
"24","upper-14_lower_A",0.14680153926242,0.100740740740741
"25","lower-14_lower_DBH",0.365800551604006,0.240963855421687
"26","upper-14_lower_DBH",0.0650269700539401,0.137951807228916
"27","lower-14_lower_S",0.235671175858481,0.190322580645161
"28","upper-14_lower_S",0,0
"29","lower-15_lower_A",0.301926623821559,0.185195530726257
"30","upper-15_lower_A",0.339263054033265,0.220111731843575
"31","lower-15_lower_DBH",0.126141868512111,0.0676470588235294
"32","upper-15_lower_DBH",0.0722204866282576,0.150802139037433
"33","lower-16_lower_A",0.27624353793963,0.200236406619385
"34","upper-16_lower_A",0,0
"35","lower-17_lower_A",0.0258634958382877,0.0131034482758621
