"tree_ID","ply_model","species","intercept_hol","slope_hol","r2_hol","p_hol","intercept_rot","slope_rot","r2_rot","p_rot","intercept_alld","slope_alld","r2_alld","p_alld"
"Extra2_lower","AM3_iron_ranges_boundary_lower.0021","Lophostemon suaveolens",0,0,NA,NA,0.115706649013481,-0.0040567576621726,0.0738735536475318,0.728203102211354,0.115706649013481,-0.0040567576621726,0.0738735536475318,0.728203102211354
"9_lower","AM3_iron_ranges_boundary_lower.0037","Corymbia sp. (clarksoniana/novoguinensis) ",-22.4002283835971,3.07826770982418,0.999822189362594,8.89092711321265e-05,0.80215837012876,-0.0606566018712649,0.559089422465767,0.252277175374613,-21.5980700134684,3.01761110795291,0.99909318466561,0.000453510503083112
"10_lower","AM3_iron_ranges_boundary_lower.0068","Corymbia sp. (clarksoniana/novoguinensis) ",-2.44422136848877,0.351383316957413,0.480303302326864,0.512542552621521,0,0,NA,NA,-2.44422136848877,0.351383316957413,0.480303302326864,0.512542552621521
"11_lower","AM3_iron_ranges_boundary_lower.0113","Corymbia sp. (clarksoniana/novoguinensis) ",-4.81079307892622,0.471961242285378,0.595153828652781,0.0723761168820093,2.11304251012731,-0.043361849325535,0.0105316710160505,0.846604505680635,-2.69775056879891,0.428599392959843,0.470710074028656,0.132348413697703
"15_lower","AM3_iron_ranges_boundary_lower.0132","Eucalyptus tetrodonta",-2.23623078377367,0.205583906838315,0.411900259552326,0.169485830596104,0.134744913285342,0.00306398364463169,0.00730021054092647,0.872149965315465,-2.10148587048833,0.208647890482947,0.438692525940454,0.151773495326306
"2_lower","AM3_iron_ranges_boundary_lower.0134","Corymbia sp. (clarksoniana/novoguinensis) ",-2.51819476022463,0.217173090206888,0.506816815031427,0.0727328492828724,-0.00353685887437156,0.00660780064544138,0.0343708382712453,0.690646652094834,-2.521731619099,0.22378089085233,0.560977682199919,0.0526816157339804
"Cor1_lower","AM3_iron_ranges_boundary_lower.0177","Corymbia sp. (clarksoniana/novoguinensis) ",-16.6277458824143,2.21800263907409,0.904184130357211,0.049114028730463,0,0,NA,NA,-16.6277458824143,2.21800263907409,0.904184130357211,0.049114028730463
"12_lower","AM3_iron_ranges_boundary_lower.0185","Corymbia sp. (clarksoniana/novoguinensis) ",0.260575523717851,0.00348920083712012,0.00284668611478924,0.932099382614188,-11.179563549728,1.04122607622054,0.550597423853265,0.151057566156807,-10.9189880260101,1.04471527705766,0.571809508899998,0.139116028380344
"4_lower","AM3_iron_ranges_boundary_lower.0186","Corymbia sp. (clarksoniana/novoguinensis) ",-5.19961969432336,0.493800901800303,0.527228210799569,0.102254241552665,0,0,NA,NA,-5.19961969432336,0.493800901800303,0.527228210799569,0.102254241552665
"19_lower","AM3_iron_ranges_boundary_lower.0199","Corymbia sp. (clarksoniana/novoguinensis) ",-6.57259948821852,0.662935795113067,0.832439053597068,0.0111793092024514,-0.666402421762662,0.0451734719374237,0.429053383314396,0.157987131593006,-7.23900190998118,0.70810926705049,0.805216453979359,0.0152680694488346
