tree_id,ply_model,species,dbh_observed_cm_tidy,stump_ABG_dry_weight_kg,new_cyl_vol_HFB_L,dry_density_published,wd_species_level_field,sd,paul_2016_type_c,paul_2013_universal_dbh_c,brown_c,willams_woodland_c,chave_lit_dens_c_kg,chave_scaled_dens_c_kg,TLS_ABG_dry_lit_dens_kg,TLS_est_ABG_dry_scaled_kg,obs_ABG_dry_kg,williams,paul2016,paul2013,brown,chave_L,chave_F,TLS_L,TLS_F
Extra3_lower,AM3_iron_ranges_boundary_lower.0367,Planchonia careya,17.2,0,115.684,0.6458,0.513332816370833,0.0516890920801603,114.611,103.392,99.964,128.343,118.38,100.61,74.70318839,63.26763746,55.944,128.343305418679,114.610722745831,103.392017000538,99.9644105618369,118.326059802806,94.5745246953058,74.7087272,59.3843935290435
13_lower,AM3_iron_ranges_boundary_lower.0385,Lophostemon suaveolens,13,14.48,135.165,0.551,0.568797555022222,0.0413758919524916,44.468,40.284,37.733,49.563,35.72,37.23,74.4813216,76.8202862,49.95,49.5620568431242,44.4668566951824,40.2832032151262,37.7317187652168,35.6916850868626,37.272753673619,74.475915,76.8815215245787
Loph10_lower,AM3_iron_ranges_boundary_lower.0494,Lophostemon suaveolens,7,0,31.389,0.551,0.568797555022222,0.0413758919524916,13.55,13.434,12.418,13.769,10.43,10.47,17.29649361,17.37117508,14.482,13.7687805081517,13.5504286844815,13.4341435337992,12.417863038481,10.4254689350903,10.7540084570724,17.295339,17.8539864545925
3_lower,AM3_iron_ranges_boundary_lower.0582,Eucalyptus tetrodonta,28.5,46.95,588.142,0.8784,0.69905622905,0.0797882837399388,333.327,278.387,275.645,402.785,514.49,381.55,516.6242257,391.8956993,371.255,402.786158023809,333.328465130787,278.388354296188,275.64637870176,514.199180561417,402.08318823554,516.6239328,411.144328665925
Planch3_lower,AM3_iron_ranges_boundary_lower.0622,Planchonia careya,11,8.36,90.752,0.6458,0.513332816370833,0.0516890920801603,31.278,29.116,27.073,33.934,30.08,20.91,58.60324122,44.3555123,25.18,33.9375010758293,31.2817498863421,29.1199349603408,27.0764691099203,30.0627288959329,22.3501523441691,58.6076416,46.5859797512859
Planch1_lower,AM3_iron_ranges_boundary_lower.0758,Planchonia careya,15.6,18.03,109.095,0.6458,0.513332816370833,0.0516890920801603,72.861,64.809,61.673,82.683,74.66,56.29,70.44806318,56.2148472,41.805,82.6817688585562,72.8600015702258,64.8081271440142,61.6718644500101,74.6156647456931,56.0189434280712,70.453551,56.0020436019761
Tess1_lower,AM3_iron_ranges_boundary_lower.0805,Corymbia tessellaris,6.18,3.35,30.341,0.8954,0.7051775568,0.0430752576702618,6.729,6.774,5.95,6.754,8.83,6.63,27.16887536,22.16012857,13.788,6.75499297935742,6.72958886682721,6.77467920502136,5.95063658307342,8.82195559503507,6.29119790515768,27.1673314,21.3957922508688
Planch2_lower,AM3_iron_ranges_boundary_lower.0808,Planchonia careya,11.1,12.76,58.402,0.6458,0.513332816370833,0.0516890920801603,27.738,25.493,23.424,30.494,26.57,19.37,37.71301298,30.67492652,20.894,30.4987556068044,27.7430067584412,25.4978530877277,23.4283451242471,26.5523709197285,18.6612169371223,37.7160116,29.9796631416894
Loph1_lower,AM3_iron_ranges_boundary_lower.0848,Lophostemon suaveolens,24.8,32.22,125.855,0.551,0.568797555022222,0.0413758919524916,241.102,205.054,201.424,286.2,220.17,223.42,69.35132159,70.30200559,65.333,286.196454515218,241.097809736652,205.049955464091,201.420061677338,220.020445223934,227.969339975277,69.346105,71.5860162873218
Planch11_lower,AM3_iron_ranges_boundary_lower.0868,Planchonia careya,10.8,0,50.249,0.6458,0.513332816370833,0.0516890920801603,37.951,35.951,33.96,40.414,36.7,35.58,32.44799161,31.4533091,33.475,40.4135555400759,37.9512958160501,35.9508661576826,33.959596813613,36.6796838060574,29.3169878868028,32.4508042,25.794460689818
