tree_id,ply_model,species,dbh_observed_cm_tidy,stump_ABG_dry_weight_kg,new_cyl_vol_HFB_L,dry_density_published,wd_species_level_field,sd,paul_2016_type_c,paul_2013_universal_dbh_c,brown_c,willams_woodland_c,chave_lit_dens_c_kg,chave_scaled_dens_c_kg,TLS_ABG_dry_lit_dens_kg,TLS_est_ABG_dry_scaled_kg,obs_ABG_dry_kg,williams,paul2016,paul2013,brown,chave_L,chave_F,TLS_L,TLS_F,paul2016_r,chave_F_r,TLS_F_r,size_class,paul2016_r_pc,chave_F_r_pc,TLS_F_r_pc
16_lower,AM3_iron_ranges_boundary_lower.0209,Eucalyptus tetrodonta,57.9,72.95,3937.839,0.8784,0.69905622905,0.0797882837399388,1974.474,1553.045,1597.506,2541.26,3118.25,2389.22,3458.997652,2653.232209,3055.551,2541.25520617543,1974.46923324173,1553.03963539922,1597.5007681276,3116.58361658981,2479.3239735784,3458.9977776,2752.77088194602,1081.08176675827,576.2270264216,302.78011805398,over_300kg,0.35380910570901,0.188583671626361,0.0990918227363837
1_lower,AM3_iron_ranges_boundary_lower.1760,Lophostemon suaveolens,62.7,133.62,2909.329,0.551,0.568797555022222,0.0413758919524916,2340.133,1814.59,1875.848,3052.251,2322.7,2162.81,1603.15675,1497.127303,1750.097,3052.24643408944,2340.12881575568,1814.58543666111,1875.8434323217,2321.23737199385,2398.59769722723,1603.040279,1654.81922195525,-590.03181575568,-648.50069722723,95.27777804475,over_300kg,-0.337142350255831,-0.370551287858462,0.0544414269864756
6_lower,AM3_iron_ranges_boundary_lower.0219,Corymbia tessellaris,50,155.89,2197.388,0.8954,0.7051775568,0.0430752576702618,1289.216,1009.577,1032.696,1660.234,2119.15,1699.99,1967.628757,1597.94917,1525.514,1660.23171569914,1289.21349084206,1009.57528801793,1032.69384401763,2117.85901739361,1645.10771907576,1967.5412152,1549.54870118164,236.30050915794,-119.59371907576,-24.03470118164,over_300kg,0.15489894498375,-0.0783956876670814,-0.015755149531004
18_lower,AM3_iron_ranges_boundary_lower.0316,Eucalyptus tetrodonta,47,194.58,2220.504,0.8784,0.69905622905,0.0797882837399388,1053.022,818.159,835.058,1362.882,1725.2,1298.98,1950.49114,1508.921191,1451.938,1362.88653800873,1053.02642438021,818.163747907467,835.062458990431,1724.19934753051,1340.83275259482,1950.4907136,1552.25715283044,398.91157561979,111.10524740518,-100.31915283044,over_300kg,0.274744221598849,0.0765220329002891,-0.0690932759046461
2_upper,Firebreak_upper.0705,Acacia polystachya,40.2,134.07,1304.574,0.895,0.84498702926,0.0590323946470832,726.694,576.215,582.446,922.474,1199.69,1015.57,1167.593974,1003.283122,1226.882,922.470735178437,726.689978251154,576.211615447086,582.442639444982,1198.98738818319,1126.23368243793,1167.59373,1102.34810870984,500.192021748846,100.64831756207,124.53389129016,over_300kg,0.407693667156944,0.0820358580222629,0.1015043755554
7_lower,AM3_iron_ranges_boundary_lower.0271,Lophostemon suaveolens,54.8,37.92,1722.75,0.551,0.568797555022222,0.0413758919524916,1758.668,1397.136,1432.325,2242.413,1732.95,1710.44,949.304121,937.4442449,1075.457,2242.41439759756,1758.67015806454,1397.13749425711,1432.32702191335,1731.89984787746,1787.67247263289,949.23525,979.895987914533,-683.21315806454,-712.21547263289,95.5610120854672,over_300kg,-0.635277057162248,-0.662244490140368,0.088856190517582
15_lower,AM3_iron_ranges_boundary_lower.0132,Eucalyptus tetrodonta,37.4,106.74,1608.673,0.8784,0.69905622905,0.0797882837399388,618.388,496.173,499.271,776.399,990.21,739.94,1413.058076,1084.322536,1037.795,776.400921922655,618.388951407183,496.174835344391,499.272426755055,989.640064986144,770.586481357544,1413.0583632,1124.55288115455,419.406048592817,267.208518642456,-86.75788115455,over_300kg,0.404131884035688,0.25747716903864,-0.0835982840103778
19_lower,AM3_iron_ranges_boundary_lower.0199,Corymbia sp. (clarksoniana/novoguinensis) ,38.5,117.8,1159.122,0.7204,0.667544218791304,0.0829111358529929,659.005,526.118,530.365,831.248,852.81,787.04,835.0293126,777.5157766,679.321,831.252136214758,659.009310893637,526.12203849381,530.369073102522,852.313791257528,782.781998085871,835.0314888,773.765189973814,20.311689106363,-103.460998085871,-94.444189973814,over_300kg,0.0298999870552552,-0.152300603228622,-0.13902733755296
3_upper,Firebreak_upper.0689,Lophostemon suaveolens,36.8,79.88,1125.286,0.551,0.568797555022222,0.0413758919524916,617.926,501.303,503.817,768.499,588.9,575.23,620.0777098,607.4189798,672.873,768.497715253844,617.924489371924,501.301767839057,503.815509260613,588.501763758356,609.564588513188,620.032586,640.059925500736,54.9485106280761,63.308411486812,32.8130744992641,over_300kg,0.0816625286318162,0.0940867169388755,0.0487656281337847
5_upper,Firebreak_upper.0704,Parinari nonda,35.8,80.27,929.291,0.53,0.554222497,0.0886766504361294,573.341,465.682,467.289,712.015,521.42,536.26,492.5240385,505.2462053,633.322,712.011430565036,573.338028443607,465.678784920308,467.285359873636,521.100125053703,547.910327601274,492.52423,515.033978459627,59.9839715563931,85.411672398726,118.288021540373,over_300kg,0.0947132289047169,0.134862948703386,0.186773902596741
6_upper,Firebreak_upper.0456,Corymbia sp. (clarksoniana/novoguinensis) ,28.8,60.87,804.329,0.7204,0.667544218791304,0.0829111358529929,328.987,272.297,269.662,400.716,413.92,411.54,579.4367329,576.776925,603.304,400.713227984773,328.984317517692,272.294240002703,269.65931555198,413.66684885886,379.654964557727,579.4386116,536.925173956191,274.319682482308,223.649035442273,66.378826043809,over_300kg,0.454695613624819,0.370707032345671,0.110025502969994
8_lower,AM3_iron_ranges_boundary_lower.0240,Corymbia sp. (clarksoniana/novoguinensis) ,28,52.17,844.984,0.7204,0.667544218791304,0.0829111358529929,312.453,260.354,257.446,378.227,390.66,363.06,608.7244583,570.179749,584.752,378.22839313407,312.454220989811,260.356007870087,257.447889109111,390.434122102668,358.710979361781,608.7264736,564.064184171152,272.297779010189,226.041020638219,20.687815828848,over_300kg,0.465663698474206,0.386558781565893,0.0353787859277916
