"","X","length","radius","unmodradius","surfacecoverage","parent","extension","branch","added","numlayers","meanpointdist","mad","x","y","z","dx","dy","dz","damage_hol","damage_rot","vol_cyl","vol_cyl_d_hol","vol_cyl_d_rot","col_cyl_d_all"
"21",20,0.24391578,0.06757219,0.06747232,0.8125,19,21,0,0,4,0.0053413566,-0.00045283843,37.02505,28.253462,121.34444,0.078462884,-0.052345082,0.9955419,0,1.46786465839933,0.00349885350700369,0,5.13584340784728e-05,5.13584340784728e-05
"22",21,0.18162058,0.06776343,0.06725304,0.735,20,22,0,0,3,0.0039432542,0.0004332223,37.037415,28.236834,121.58759,0.08107413,-0.0006406117,0.99670774,0,1.47081032346131,0.00262002655028269,0,3.8535620978985e-05,3.8535620978985e-05
"23",22,0.199063,0.06661087,0.06602556,0.7475,21,23,0,0,4,0.005189489,0.0002986995,37.04922,28.236855,121.76885,-0.0794509,-0.009188786,0.9967964,0,1.45305746985416,0.00277479325107539,0,4.031934060776e-05,4.031934060776e-05
"24",23,0.14170821,0.07065689,0.07066443,0.7775,22,24,0,0,3,0.006077794,0.00042628596,37.035328,28.241133,121.96748,-0.0020189537,-0.09774427,0.9952095,0,1.51537821736545,0.00222256218321547,0,3.36802231918493e-05,3.36802231918493e-05
"25",24,0.2715237,0.06730905,0.0649878,0.675,23,25,0,0,4,0.0131115345,0.00020755938,37.0306,28.236383,122.1094,-0.00903365,-0.19731432,0.9802986,0,1.46381151938862,0.00386459989453759,0,5.65704584345218e-05,5.65704584345218e-05
"26",25,0.1896933,0.06305299,0.06305299,0.9125,24,26,0,0,4,0.0035897791,8.7757464e-05,37.025608,28.193684,122.37774,0.022462664,-0.09860848,0.9948728,0,1.39825553087326,0.00236926280309063,0,3.31283481851375e-05,3.31283481851375e-05
"27",26,0.2098264,0.062431537,0.062275033,0.8675,25,27,0,0,4,0.0045333146,7.693968e-05,37.028713,28.176842,122.56667,0.028270295,-0.16264965,0.98627883,0,1.38868330545096,0.00256931916314872,0,3.56797062823986e-05,3.56797062823986e-05
"28",27,0.15076761,0.06253116,0.062318683,0.84,26,28,0,0,3,0.004458008,9.276233e-05,37.030693,28.138723,122.77308,0.066139,-0.014713017,0.997702,0,1.39021779609345,0.00185204226566249,0,2.57474211684122e-05,2.57474211684122e-05
"29",28,0.20511283,0.061678234,0.061513625,0.8575,27,29,0,0,4,0.005628192,0.00044046994,37.03087,28.135511,122.92413,0.08759678,-0.048838463,0.9949581,0,1.37708019769012,0.00245135697911473,0,3.37571515340837e-05,3.37571515340837e-05
"30",29,0.21176966,0.05972164,0.05914158,0.795,28,30,0,0,4,0.008166677,0.00024354544,37.05412,28.127056,123.12782,-0.0060525117,0.023345402,0.9997092,0,1.34694282796478,0.00237288703021507,0,3.19614316691884e-05,3.19614316691884e-05
"31",30,0.19864228,0.064040214,0.0643174,0.7975,29,31,0,0,4,0.008859717,-0.00019533074,37.053997,28.125141,123.3397,-0.031532727,0.09842935,0.9946444,0,1.41346171809949,0.00255933486567883,0,3.61752185643433e-05,3.61752185643433e-05
"32",31,0.21894245,0.05760316,0.055800956,0.535,30,32,0,0,4,0.013543716,-9.31843e-05,37.034813,28.14101,123.53723,-0.2523589,-0.119732834,0.9601974,0,1.31431193212449,0.0022822985985951,0,2.99965228080454e-05,2.99965228080454e-05
"33",32,0.17069417,0.0514748,0.048329916,0.7425,31,33,0,0,3,0.004539429,-6.7219415e-05,36.969856,28.11369,123.744774,-0.16399065,-0.05811634,0.9847484,0,1.21991695231265,0.00142088162078425,0,1.73335757642417e-05,1.73335757642417e-05
"34",33,0.22022286,0.04951239,0.047455072,0.8625,32,34,0,0,4,0.003751438,0.00033403648,36.94305,28.103546,123.91305,-0.15170595,-0.14365989,0.97793,0,1.18968999888097,0.00169605547146738,0,2.01778023195209e-05,2.01778023195209e-05
"35",34,0.18319076,0.049327504,0.04749485,0.7925,33,35,0,0,4,0.004382518,-3.4764515e-05,36.910957,28.070219,124.128365,-0.3200384,-0.3017032,0.89808166,0,1.18684220432623,0.00140033427233713,0,1.66197581457416e-05,1.66197581457416e-05
"36",35,0.19861484,0.047300357,0.045443613,0.825,34,36,0,0,4,0.0043880143,8.127702e-05,36.857998,28.011831,124.29385,-0.43364453,-0.15010846,0.888493,0,1.15561810846034,0.00139601602826887,0,1.6132614019684e-05,1.6132614019684e-05
"37",36,0.18583784,0.04689987,0.046084713,0.865,35,37,0,0,4,0.0035508368,-5.1350133e-05,36.77378,27.981796,124.471214,-0.30800796,-0.1510481,0.9393165,0,1.14944941695399,0.00128418413276331,0,1.47610470266635e-05,1.47610470266635e-05
"38",37,0.18790722,0.045239754,0.044439238,0.8225,36,38,0,0,4,0.0029488418,9.606449e-05,36.71943,27.955564,124.64702,-0.22213313,-0.10287512,0.9695739,0,1.12387869064135,0.00120818602926852,0,1.35785453262547e-05,1.35785453262547e-05
"39",38,0.12398704,0.045788363,0.04670137,0.6125,37,39,0,0,3,0.0048768125,4.211106e-05,36.675877,27.92811,124.827934,-0.30142334,-0.21375306,0.929222,0,1.13232890170591,0.000816650813477107,0,9.24717318701767e-06,9.24717318701767e-06
"40",39,0.18455768,0.044439238,0.034397323,0.2575,38,40,0,0,4,0.012523637,0.00014831874,36.63912,27.89286,124.940895,0.2559079,0.56927675,0.78130347,0,1.11154836219148,0.00114502561399044,0,1.27275134589836e-05,1.27275134589836e-05
"41",40,0.10646044,0.044439238,0.014999087,0.07,39,4294967295,0,0,4,0.01831824,-2.2285218e-09,36.7131,27.95317,125.10894,0.39422438,0.89313215,0.21656899,0,1.11154836219148,0.000660497740742583,0,7.34175181953587e-06,7.34175181953587e-06
"42",41,0.05687717,0.0050000004,0.005,0.05,0,4294967295,1,0,0,0.122837625,0.005,37.36458,28.354822,116.786644,-0.3173707,0.4378267,-0.8411799,0,0.504066746058189,4.46712320046407e-06,0,2.25172825589897e-08,2.25172825589897e-08
"43",42,0.23041604,0.023456708,0.043759093,0.04,1,43,2,0,3,0.25288603,-2.0954758e-09,37.336178,28.253767,117.227295,-0.32096523,-0.4991624,-0.80487156,0,0.788354963671896,0.000398287525431545,0,3.13991947642555e-06,3.13991947642555e-06
"44",43,0.01,0.005000001,0.005,0.05,42,4294967295,2,0,3,0.07771921,0.005,37.26338,28.084679,117.064064,0.5035621,-0.8202155,0.27142513,0,0.504066755299975,7.85398477556745e-07,0,3.95893262199568e-09,3.95893262199568e-09
"45",44,0.13706607,0.018587021,0.010452723,0.035,1,45,3,0,3,0.015408041,-3.3261522e-11,37.369255,28.192879,117.24042,-0.7111677,-0.5446961,-0.44446242,0,0.713347293421616,0.000148764536216159,0,1.06120779266919e-06,1.06120779266919e-06
"46",45,0.10092957,0.012042887,0.022169719,0.095,44,4294967295,3,0,4,0.14974898,0.00037357464,37.234844,28.116453,117.151276,-0.2830893,0.23263213,0.93045294,0,0.612548156814757,4.59864111981254e-05,0,2.81688914179372e-07,2.81688914179372e-07
"47",46,0.01,0.0050000004,0.005,0.05,45,4294967295,538,0,0,0.02243729,0.005,37.255943,28.115097,117.10732,1,0,0,0,0.504066746058189,7.8539828906116e-07,0,3.95893159926728e-09,3.95893159926728e-09
"48",47,0.3503278,0.06313006,0.039282627,0.1125,1,48,4,0,4,0.02862523,-0.00041057862,37.442585,28.240295,117.27147,0.95709336,-0.21005967,-0.19961779,0,1.39944263820607,0.00438628532336003,0,6.13835470484752e-05,6.13835470484752e-05
"49",48,0.14711758,0.06298788,0.029871646,0.1125,47,49,4,0,4,0.01366432,-0.0001225533,37.78506,28.182758,117.21907,0.84120744,-0.3476379,0.41414726,0,1.39725264312914,0.00183370060361544,0,2.56214301510917e-05,2.56214301510917e-05
