"","X","length","radius","unmodradius","surfacecoverage","parent","extension","branch","added","numlayers","meanpointdist","mad","x","y","z","dx","dy","dz","damage_hol","damage_rot","vol_cyl","vol_cyl_d_hol","vol_cyl_d_rot","col_cyl_d_all"
"1",0,0.43052605,0.062176727,0.062176727,0.785,4294967295,1,0,0,4,0.013288587,0.0011341671,-56.58984,-50.814316,111.51968,0.18179095,-0.04521342,0.9822972,2.31151015584611,0,0.0052288360066591,0.000120865075326463,0,0.000120865075326463
"2",1,0.16419509,0.0559986,0.0559986,0.8475,0,2,0,0,4,0.0053148083,0.00017644423,-56.517963,-50.815956,111.94458,0.09337227,-0.0861469,0.9918974,1.91962091891192,0,0.00161757481976044,3.10513046191731e-05,0,3.10513046191731e-05
"3",2,0.15624443,0.053798445,0.053798445,0.85,1,3,0,0,4,0.004810982,7.7231416e-05,-56.503544,-50.83265,112.10731,0.20882092,0.09990591,0.97283745,1.78006129767284,0,0.0014206721357701,2.52888348556657e-05,0,2.52888348556657e-05
"4",3,0.1445482,0.053112425,0.053112425,0.7825,2,4,0,0,4,0.0033615604,0.00026010888,-56.47921,-50.82433,112.26183,0.15448992,0.02654883,0.9876376,1.73654586745886,0,0.00128101679094909,2.22454441446805e-05,0,2.22454441446805e-05
"5",4,0.14457838,0.05363257,0.05363257,0.795,3,5,0,0,4,0.0025764557,0.00043579531,-56.454037,-50.821342,112.404175,0.15530197,0.041160565,0.9870092,1.76953956071656,0,0.00130650309656488,2.31190891557025e-05,0,2.31190891557025e-05
"6",5,0.14643627,0.05069051,0.05069051,0.82,4,6,0,0,4,0.0021910197,0.0004084728,-56.431187,-50.814045,112.54675,0.23492089,0.12282679,0.96422285,1.58291962745611,0,0.00118209356234256,1.87115910132155e-05,0,1.87115910132155e-05
"7",6,0.16271852,0.048097514,0.048097514,0.7825,5,7,0,0,4,0.0021203677,0.0003402325,-56.396282,-50.7981,112.68809,0.28905877,0.069181874,0.9548083,1.41844142495017,0,0.00118258432347504,1.67742659291367e-05,0,1.67742659291367e-05
"8",7,0.15583085,0.047583397,0.047583397,0.7575,6,8,0,0,4,0.0022198977,6.022214e-05,-56.34828,-50.789314,112.84334,0.26066017,0.009620534,0.9653827,1.38583009811521,0,0.00110844512801084,1.53611662050659e-05,0,1.53611662050659e-05
"9",8,0.13798723,0.046920314,0.046920314,0.7675,7,9,0,0,4,0.0042057983,-2.463411e-05,-56.295708,-50.78302,112.9905,0.13087282,0.07450406,0.98859566,1.34376960131836,0,0.000954356397072372,1.28243511520957e-05,0,1.28243511520957e-05
"10",9,0.14665347,0.04716093,0.04716093,0.74,8,10,0,0,4,0.002037908,6.558295e-05,-56.275276,-50.772682,113.126595,0.2903419,0.03014749,0.95644796,1.35903228863996,0,0.00102472406960228,1.39263309753604e-05,0,1.39263309753604e-05
"11",10,0.14437914,0.051240396,0.051240396,0.7475,9,11,0,0,4,0.0029533093,0.00033080755,-56.233883,-50.77089,113.2673,0.5621679,-0.0715227,0.82392454,1.61779984357028,0,0.00119091092174007,1.92665550289722e-05,0,1.92665550289722e-05
"12",11,0.14425701,0.047843322,0.04853685,0.77,10,12,0,0,4,0.0038532172,0.00013739127,-56.149708,-50.78369,113.383995,0.51396084,0.36891684,0.7744319,1.402317588565,0,0.0010373598942754,1.45470802541433e-05,0,1.45470802541433e-05
"13",12,0.10487134,0.046462312,0.04404266,0.6575,11,13,0,0,3,0.0028375199,0.00011222224,-56.076046,-50.732445,113.49697,0.5658862,0.30282205,0.7668582,1.31471774558695,0,0.000711227144774381,9.35062948378016e-06,0,9.35062948378016e-06
"14",13,0.1408108,0.045255113,0.04458337,0.715,12,14,0,0,4,0.0027839588,0.000107861284,-56.014996,-50.70127,113.57636,0.61496437,0.32907367,0.7166096,1.23814303371428,0,0.000905985289059853,1.12173937429708e-05,0,1.12173937429708e-05
"15",14,0.13560726,0.045360968,0.04509098,0.7725,13,15,0,0,4,0.0029139146,0.00019859096,-55.92744,-50.653526,113.6758,0.61394775,0.36586502,0.69943625,1.24485759869096,0,0.000876591875654723,1.09123205735955e-05,0,1.09123205735955e-05
"16",15,0.14388789,0.0439132,0.04275846,0.7225,14,16,0,0,4,0.0028727872,2.4093551e-06,-55.842823,-50.601273,113.768074,0.5895383,0.4077748,0.6972549,1.15302318078765,0,0.000871694464766674,1.00508392444026e-05,0,1.00508392444026e-05
"17",16,0.1408685,0.04268025,0.040836398,0.725,15,17,0,0,4,0.0023375156,0.00017527657,-55.75601,-50.545017,113.86813,0.603366,0.38653773,0.6975227,1.07481503863097,0,0.000806153366876047,8.66465762161367e-06,0,8.66465762161367e-06
"18",17,0.14028257,0.041210823,0.038462494,0.7425,16,18,0,0,4,0.0027521315,2.7168191e-05,-55.67182,-50.490276,113.966934,0.5336889,0.38730922,0.75177634,0.981606753051782,0,0.000748473040022968,7.34706190563742e-06,0,7.34706190563742e-06
"19",18,0.13549325,0.041580442,0.040040705,0.7375,17,19,0,0,4,0.0033564994,0.00016646445,-55.596943,-50.435173,114.07199,0.56477225,0.38191104,0.7315574,1.00505232286062,0,0.000735945638609423,7.39663873583545e-06,0,7.39663873583545e-06
"20",19,0.14765145,0.0409115,0.03925997,0.6775,18,20,0,0,4,0.0055485102,9.707924e-05,-55.525806,-50.368923,114.1677,0.5307196,-0.05337682,0.84586495,0.962620179602118,0,0.000776387250434712,7.47366034454257e-06,0,7.47366034454257e-06
"21",20,0.15175213,0.03888589,0.034882464,0.59,19,21,0,0,4,0.0053935917,9.183191e-05,-55.438564,-50.375847,114.28709,0.281165,-0.35876504,0.89007515,0.834132248352685,0,0.000720889591229136,6.01317255546007e-06,0,6.01317255546007e-06
"22",21,0.13465863,0.03900873,0.037793897,0.62,20,22,0,0,4,0.004031679,6.8975554e-05,-55.39795,-50.42306,114.42572,0.36371154,-0.4211337,0.8308793,0.841924201134651,0,0.000643735836787439,5.41976780129011e-06,0,5.41976780129011e-06
"23",22,0.09688163,0.03868715,0.038433198,0.48,21,23,0,0,3,0.003042149,1.8509998e-05,-55.348736,-50.48023,114.53727,0.26983568,-0.22034153,0.9373571,0.821525827839104,0,0.00045553818221006,3.74236382252441e-06,0,3.74236382252441e-06
"24",23,0.14165385,0.035736963,0.03230508,0.62,22,24,0,0,4,0.004708028,3.4507215e-05,-55.32171,-50.49612,114.62911,-0.1001516,0.44937608,0.887711,0.63439038497055,0,0.000568346958719022,3.60553845938601e-06,0,3.60553845938601e-06
"25",24,0.12789412,0.035388593,0.03406727,0.61,23,25,0,0,4,0.004617956,2.6178575e-05,-55.337154,-50.44104,114.759056,-0.42786825,0.29111147,0.85567683,0.612292675831394,0,0.000503184254484001,3.08096033614234e-06,0,3.08096033614234e-06
"26",25,0.1256689,0.036728725,0.039676026,0.5825,24,26,0,0,4,0.009649158,4.1927018e-05,-55.39857,-50.409985,114.86725,-0.24493565,0.78546965,0.5683697,0.697299556860401,0,0.000532585565091556,3.71371678528588e-06,0,3.71371678528588e-06
