"","X","length","radius","unmodradius","surfacecoverage","parent","extension","branch","added","numlayers","meanpointdist","mad","x","y","z","dx","dy","dz","damage_hol","damage_rot","vol_cyl","vol_cyl_d_hol","vol_cyl_d_rot","col_cyl_d_all"
"1",0,0.54106754,0.11043142,0.11043142,0.72,4294967295,1,0,0,4,0.014910053,-0.0015875528,-86.08417,-70.084915,110.61185,-0.06800396,0.0064217104,0.9976644,0,0.0261079471675605,0.0207293968689507,0,5.41201998269959e-06,5.41201998269959e-06
"2",1,0.22782573,0.10688279,0.10554783,0.6775,0,2,0,0,3,0.0061870175,-0.00015520232,-86.10555,-70.08947,111.15275,-0.008941256,-0.0050566657,0.9999473,0,0.0289871335561036,0.00817651441734677,0,2.37013715439037e-06,2.37013715439037e-06
"3",2,0.2083935,0.10333416,0.10333416,0.7325,1,3,0,0,3,0.0051211813,-0.0007439517,-86.103615,-70.08807,111.38061,-0.004503094,0.015486251,0.99986994,0,0.0318663199446467,0.00699071936792641,0,2.22768500021581e-06,2.22768500021581e-06
"4",3,0.2222608,0.10150762,0.08542697,0.6225,2,4,0,0,3,0.007373676,-0.0017013381,-86.09772,-70.09322,111.589134,-0.038994696,0.09683454,0.99453634,0,0.0333482859726996,0.00719465604258429,0,2.39929447183312e-06,2.39929447183312e-06
"5",4,0.26559782,0.09968108,0.09968108,0.795,3,5,0,0,4,0.005514416,0.00020263808,-86.093094,-70.08727,111.81222,-0.058369942,-0.042886972,0.9973734,0,0.0348302520007526,0.0082908650882137,0,2.88772920326725e-06,2.88772920326725e-06
"6",5,0.18592091,0.09924136,0.10050594,0.6975,4,6,0,0,3,0.0052987966,0.00023259372,-86.10424,-70.10206,112.077225,0.048791446,-0.09947053,0.9938436,0,0.0351870194965947,0.00575259134438582,0,2.02416543790846e-06,2.02416543790846e-06
"7",6,0.2299516,0.098801635,0.098801635,0.7125,5,7,0,0,4,0.0076775854,-0.0003486486,-86.09126,-70.120125,112.26185,-0.0032182913,-0.04538786,0.9989643,0,0.0355437910491944,0.00705203682384447,0,2.50656123337953e-06,2.50656123337953e-06
"8",7,0.1694003,0.0969577,0.098370485,0.5975,6,8,0,0,3,0.008894353,-0.00024431988,-86.08546,-70.13468,112.491394,-0.06332296,-0.12520471,0.9901081,0,0.0370398705371541,0.00500297873923056,0,1.85309684801234e-06,1.85309684801234e-06
"9",8,0.19273746,0.09511376,0.09511376,0.7075,7,9,0,0,3,0.004722295,-0.00029656594,-86.094185,-70.155556,112.65929,-0.012667004,-0.020781804,0.99970376,0,0.0385359540818714,0.00547775627153849,0,2.1109056415169e-06,2.1109056415169e-06
"10",9,0.25113878,0.09171607,0.09171607,0.675,8,10,0,0,4,0.0051431796,-0.0010898727,-86.090576,-70.15587,112.85212,0.0743379,0.034966458,0.99661994,0,0.0412926750701089,0.00663673576618173,0,2.74048573519112e-06,2.74048573519112e-06
"11",10,0.20454912,0.09002836,0.09002836,0.6375,9,11,0,0,3,0.00608513,-0.00039020833,-86.0743,-70.14378,113.10247,0.15299883,0.08138553,0.98486936,0,0.0426620011649139,0.00520842201522841,0,2.22201706081038e-06,2.22201706081038e-06
"12",11,0.2680019,0.09201837,0.09201837,0.72,10,12,0,0,4,0.0050722994,-0.0012152557,-86.042885,-70.12775,113.303955,0.10387859,0.19463357,0.97535986,0,0.0410474035018539,0.00712913465273577,0,2.92632466709894e-06,2.92632466709894e-06
"13",12,0.17257768,0.09173529,0.09173529,0.72,11,13,0,0,3,0.004298198,-0.00074417534,-86.017456,-70.075,113.56549,-0.019672768,0.14336805,0.9894739,0,0.0412770808936554,0.00456254725467921,0,1.8832863211252e-06,1.8832863211252e-06
"14",13,0.1919364,0.09106386,0.09106386,0.555,12,14,0,0,3,0.009841677,7.340306e-05,-86.01868,-70.04886,113.73609,-0.05040249,0.05807416,0.99703914,0,0.041821846653078,0.00500033761082893,0,2.09123352773706e-06,2.09123352773706e-06
"15",14,0.223542,0.08203141,0.08203141,0.6125,13,15,0,0,4,0.013767444,3.0294466e-05,-85.95962,-70.04289,113.93124,-0.3517053,0.040068127,0.93525285,0,0.0491503388022161,0.00472573492790422,0,2.32271472795959e-06,2.32271472795959e-06
"16",15,0.17584388,0.0895568,0.0895568,0.47,14,16,0,0,3,0.006445985,-0.0010291764,-86.01916,-70.03204,114.1474,0.12139772,0.04225925,0.9917039,0,0.0430446020935487,0.0044307195855267,0,1.9071856154709e-06,1.9071856154709e-06
"17",16,0.17852998,0.080673076,0.080673076,0.6525,15,17,0,0,4,0.013822571,-0.00086609664,-85.96762,-70.005844,114.31729,-0.12538311,0.17418595,0.9766977,0,0.0502524251746741,0.00365021345950068,0,1.83432078745146e-06,1.83432078745146e-06
"18",17,0.2715852,0.10361727,0.10361727,0.4225,16,18,0,0,4,0.015563345,-0.0014143846,-85.99279,-69.978966,114.49206,0.08719783,-0.091720656,0.99195963,0,0.0316366182122991,0.00916052287732076,0,2.89807964894829e-06,2.89807964894829e-06
"19",18,0.2182073,0.09094886,0.09094886,0.6425,17,19,0,0,4,0.0062453914,-0.000574019,-85.97158,-69.97292,114.76454,0.094192944,0.12174456,0.98808193,0,0.0419151520793079,0.00567039963331423,0,2.37675662980818e-06,2.37675662980818e-06
"20",19,0.16593505,0.08220757,0.08220757,0.5075,18,20,0,0,3,0.010072846,-0.00038897325,-85.912285,-69.93335,114.97485,0.04528852,0.13255514,0.99014044,0,0.0490074111162625,0.00352299174145224,0,1.72652704632547e-06,1.72652704632547e-06
"21",20,0.19743459,0.09445988,0.09445988,0.475,19,21,0,0,3,0.009279916,-0.00021899796,-85.91673,-69.91513,115.140205,0.13652445,0.11283652,0.9841895,0,0.0390664806218997,0.00553436622074312,0,2.16208210717157e-06,2.16208210717157e-06
"22",21,0.19319522,0.079841055,0.079841055,0.55,20,22,0,0,4,0.024900889,-0.0002872608,-85.84741,-69.916466,115.331345,-0.0894462,-0.16905925,0.9815388,0,0.0509274866880418,0.00386900048024272,0,1.97038470453588e-06,1.97038470453588e-06
"23",22,0.24648434,0.084794424,0.084794424,0.56,21,23,0,0,4,0.0084607275,-0.0013575689,-85.8542,-69.91799,115.52729,-0.24297993,-0.2003888,0.94910747,0,0.0469085631591781,0.00556767394047274,0,2.61171584686375e-06,2.61171584686375e-06
"24",23,0.23355748,0.08478303,0.08416676,0.52,22,24,0,0,4,0.0064211586,-0.0010968646,-85.88936,-69.958755,115.76939,0.019370953,-0.056610223,0.9982084,0,0.0469178076985387,0.00527425982202782,0,2.4745670808203e-06,2.4745670808203e-06
"25",24,0.22687179,0.08611955,0.08606745,0.595,23,25,0,0,4,0.006414109,-0.00083878817,-85.882286,-69.97601,116.00224,-0.017184246,-0.11319407,0.9934243,0,0.0458334201484093,0.00528608173431059,0,2.42279205067489e-06,2.42279205067489e-06
"26",25,0.16126874,0.08473452,0.083844505,0.405,24,26,0,0,3,0.0065905,0.00074127613,-85.88579,-69.99047,116.228905,0.065853536,-0.09050131,0.99371666,0,0.0469571663613771,0.0036376491797884,0,1.70813697699651e-06,1.70813697699651e-06
"27",26,0.21950987,0.084672816,0.08432459,0.37,25,27,0,0,3,0.010036521,-0.0011045608,-85.86567,-69.98333,116.39051,0.08762113,-0.13513327,0.98694557,0,0.0470072299963344,0.00494415334713336,0,2.32410953525844e-06,2.32410953525844e-06
"28",27,0.15151441,0.08299284,0.08260237,0.4425,26,28,0,0,3,0.006586725,-0.0002528176,-85.854675,-70.01335,116.607834,0.10156452,-0.029356528,0.99439573,0,0.0483702810983876,0.00327857455764901,0,1.58585572955504e-06,1.58585572955504e-06
"29",28,0.23715545,0.08947645,0.09829232,0.26,27,29,0,0,3,0.020215902,-0.0004013404,-85.822716,-70.00772,116.7571,0.08383616,-0.19028814,0.97814214,0,0.0431097941891798,0.00596486298528446,0,2.5714401566227e-06,2.5714401566227e-06
"30",29,0.114718385,0.07089192,0.060978595,0.4525,28,30,0,0,4,0.01379233,-9.117575e-05,-85.71721,-70.04667,116.98294,-0.64629966,-0.115852445,0.754238,0,0.0581883810842551,0.00181124155897944,0,1.05393214069536e-06,1.05393214069536e-06
"31",30,0.2807394,0.068463065,0.059342787,0.5075,29,31,0,0,4,0.018137697,-0.0008512931,-85.802216,-70.115654,117.051605,0.2902133,0.39671633,0.8708573,0,0.0601590363105664,0.00413395663067481,0,2.48694847051073e-06,2.48694847051073e-06
