,length,radius,unmodradius,surfacecoverage,parent,extension,branch,added,numlayers,meanpointdist,mad,x,y,z,dx,dy,dz
0,0.30956,0.085958146,0.085958146,0.6,4294967295,1,0,0,4,0.009266777,0.0008208607,-75.2493,-50.345745,110.87837,-0.029868832,0.0034138781,0.9995481
1,0.13619338,0.087037474,0.087037474,0.81,0,2,0,0,3,0.0030338445,0.00024437625,-75.25762,-50.344036,111.18781,0.05433827,0.017589914,0.99836767
2,0.17645708,0.0872818,0.0872818,0.865,1,3,0,0,4,0.0037812416,0.00032318704,-75.253944,-50.341286,111.32398,0.1444533,-0.000237801,0.9895116
3,0.12923272,0.08198216,0.08198216,0.76,2,4,0,0,3,0.005445428,0.0006061495,-75.222374,-50.346935,111.497696,-0.063109584,0.10511376,0.9924557
4,0.1775021,0.08131928,0.08131928,0.8525,3,5,0,0,4,0.004833877,0.00015691496,-75.227806,-50.322422,111.62497,-0.04203639,-0.1623645,0.9858351
5,0.12614048,0.08613783,0.08613783,0.81,4,6,0,0,3,0.0039730105,-4.812458e-05,-75.23374,-50.34952,111.80031,-0.087398395,0.1129526,0.989749
6,0.16477157,0.084278,0.084278,0.7825,5,7,0,0,4,0.0027942471,-0.0001027177,-75.24272,-50.34441,111.92638,-0.02528136,-0.05931396,0.9979192
7,0.17879914,0.08168635,0.08168635,0.88,6,8,0,0,4,0.0029733623,-5.562409e-05,-75.24665,-50.353245,112.090866,0.035842966,0.0065498753,0.999336
8,0.16609722,0.083451726,0.083451726,0.78,7,9,0,0,4,0.0071592713,0.000102837555,-75.23014,-50.330696,112.26904,-0.03141838,-0.05064147,0.9982226
9,0.17694409,0.081394434,0.081394434,0.89,8,10,0,0,4,0.002969349,4.4176246e-05,-75.24128,-50.339096,112.43466,-0.025741173,0.062067702,0.99774
10,0.16720346,0.08158585,0.08158585,0.84,9,11,0,0,4,0.0035798019,0.00018521564,-75.24427,-50.321198,112.61082,0.036503527,-0.033195395,0.9987821
11,0.13320372,0.08488213,0.08488213,0.8075,10,12,0,0,3,0.0028552865,0.00012078442,-75.24216,-50.327923,112.77792,0.058478937,-0.030986391,0.9978076
12,0.16503023,0.08356566,0.08356566,0.85,11,13,0,0,4,0.0032018851,0.00021629145,-75.23208,-50.333088,112.91067,0.04068265,-0.043965,0.99820435
13,0.12639591,0.08397052,0.08397052,0.7125,12,14,0,0,3,0.003959034,-0.00012192267,-75.22482,-50.338623,113.075455,0.0025351658,0.034586903,0.9993985
14,0.12274971,0.08050566,0.08050566,0.7275,13,15,0,0,3,0.0026894992,4.0918065e-05,-75.23218,-50.337563,113.20191,0.041456766,-0.016595138,0.99900246
15,0.17921308,0.078917116,0.078917116,0.905,14,16,0,0,4,0.0030503322,0.0003490214,-75.22822,-50.338314,113.32461,0.06790177,-0.017496943,0.9975387
16,0.16368929,0.07845001,0.07845001,0.795,15,17,0,0,4,0.003780607,0.0002608374,-75.216064,-50.3414,113.50338,-0.045676824,0.059216738,0.99719965
17,0.12796946,0.083027974,0.083027974,0.7625,16,18,0,0,3,0.0067143305,9.745322e-05,-75.22256,-50.308743,113.66529,-0.055266693,-0.12585543,0.9905079
18,0.173681,0.07673064,0.07673064,0.7425,17,19,0,0,4,0.0061845016,0.00044475458,-75.232216,-50.315514,113.79309,-0.0046563284,0.14968339,0.98872304
19,0.16998905,0.078738146,0.078738146,0.8175,18,20,0,0,4,0.0046460857,0.0004447392,-75.232796,-50.28464,113.96407,0.069162674,-0.006350758,0.9975852
20,0.18094206,0.07951903,0.07951903,0.7925,19,21,0,0,4,0.0049521658,0.0007464662,-75.22621,-50.28627,114.13401,-0.033436727,-0.16846965,0.98513955
21,0.16999514,0.075823516,0.075823516,0.9075,20,22,0,0,4,0.0063505927,0.00039254728,-75.233,-50.31751,114.31211,-0.04847048,-0.17377564,0.9835917
22,0.16836117,0.07593133,0.07593133,0.7675,21,23,0,0,4,0.006102674,0.00033700993,-75.23178,-50.342823,114.48053,0.062444955,0.01112499,0.9979864
23,0.16297242,0.07662885,0.07662885,0.8725,22,24,0,0,4,0.0038183352,0.00030034033,-75.23235,-50.348175,114.64932,0.05402338,0.021464229,0.998309
24,0.160772,0.076519035,0.076519035,0.89,23,25,0,0,4,0.0052637914,0.000513003,-75.21951,-50.334305,114.81158,0.009206221,0.013121238,0.99987155
25,0.16219145,0.0746756,0.0746756,0.885,24,26,0,0,4,0.003616981,0.00053325115,-75.22376,-50.32339,114.97227,-0.030622674,0.14010696,0.9896627
