,length,radius,unmodradius,surfacecoverage,parent,extension,branch,added,numlayers,meanpointdist,mad,x,y,z,dx,dy,dz
0,0.30414665,0.04596122,0.049909662,0.22,4294967295,1,1,0,4,0.09930129,0.0011727195,10.60675,2.0863473,115.83801,0.64610744,-0.031095397,0.76261276
1,0.20196521,0.032443225,0.019278508,0.2375,0,2,1,0,4,0.011163059,-0.00013254181,10.748535,2.0867417,116.11673,0.5647763,0.027173774,0.8247965
2,0.20089497,0.03285526,0.036768977,0.325,1,3,1,0,4,0.009270862,-0.00018449205,10.890756,2.1290648,116.26282,0.19388224,-0.019409824,0.9808328
3,0.17965545,0.028977774,0.030918306,0.4225,2,4,1,0,4,0.01194719,-0.00023527957,10.932199,2.094789,116.45877,0.6394812,0.25010034,0.7269894
4,0.12318921,0.025086952,0.030152308,0.28,3,4294967295,1,0,4,0.009930279,3.741921e-09,11.050025,2.1449232,116.585,0.6191994,0.27148616,0.7368089
5,0.19146393,0.01894238,0.017883075,0.105,1,6,3,0,3,0.023814835,-1.4413326e-09,10.75779,2.1088667,116.09488,0.87155354,0.4531379,0.18724427
6,0.2092625,0.018549927,0.018615523,0.28,5,7,3,0,4,0.005856889,3.8991322e-05,10.922036,2.2053664,116.13217,0.8879966,0.21572146,0.4061111
7,0.12394426,0.018542578,0.020960756,0.15,6,4294967295,3,0,3,0.00908317,1.3659398e-09,11.106051,2.2526608,116.22053,0.9884259,-0.07423491,0.1323005
8,0.10543785,0.0050000004,0.005,0.05,4,4294967295,4,0,0,0.024908133,0.005,11.0367155,2.131198,116.60124,-0.26289892,-0.46893033,0.8432013
9,0.14970358,0.0050000004,0.005,0.05,7,4294967295,43,0,0,0.009421287,0.005,11.106097,2.2621896,116.236435,0.886106,0.1379928,0.44246373
10,0.20357628,0.03356513,0.0864479,0.4425,9,11,2,0,4,0.069898754,0.0002621808,10.497381,1.9988581,116.10366,-0.17611724,-0.24669245,0.95295626
11,0.37327415,0.026852105,0.026852105,0.865,10,12,2,0,4,0.006884088,0.00015131496,10.533512,2.0519145,116.3377,-0.051312406,-0.058651328,0.9969589
12,0.2987017,0.025642073,0.025642073,0.83,11,13,2,0,3,0.0036519966,0.00012637798,10.519038,2.0274158,116.709335,0.049636524,-0.09342293,0.9943885
13,0.3219027,0.024840694,0.024840694,0.8575,12,14,2,0,4,0.0041916254,-3.835598e-05,10.527196,1.9942565,117.0062,0.044119287,0.02103458,0.99880475
14,0.21371353,0.024613243,0.024613243,0.6325,13,15,2,0,3,0.0050253337,-0.000114433846,10.54188,1.9906605,117.32792,-0.030281818,0.0009967877,0.9995409
15,0.19115216,0.02426601,0.02426601,0.5875,14,16,2,0,3,0.006150592,2.8606304e-05,10.551327,1.9878947,117.54202,-0.35856053,0.099680044,0.9281693
16,0.16682175,0.03213877,0.028194413,0.5275,15,17,2,0,3,0.008252327,-6.514886e-05,10.47184,2.0167701,117.714035,-0.12193689,0.059174463,0.9907723
17,0.18643661,0.03323249,0.062297642,0.3575,16,18,2,0,4,0.03841659,-0.00012658311,10.464553,2.0570178,117.87911,0.11315498,-0.3939138,0.9121556
18,0.15072641,0.031353682,0.02156212,0.2425,17,19,2,0,4,0.019005865,-0.000100381236,10.572097,2.0012946,118.0461,0.5309017,-0.41858304,0.736839
19,0.11344141,0.031548288,0.03857113,0.305,18,20,2,0,3,0.013642952,-4.8684018e-05,10.652118,1.9382031,118.15716,-0.220484,0.4908306,0.84289503
20,0.2907141,0.029166188,0.041210983,0.2325,19,21,2,0,4,0.0234465,-0.00042567236,10.627106,1.9938836,118.25278,0.9050938,-0.22475952,0.36095497
21,0.32460567,0.025488231,0.051480453,0.25,20,22,2,0,4,0.030776635,-0.000461668,10.890229,1.9285429,118.35771,0.3268202,0.5587234,0.7622445
22,0.15939113,0.019599542,0.020450432,0.18,21,23,2,0,4,0.011072191,-0.00019756756,10.980567,2.0537658,118.653046,0.81067425,0.4074133,0.42050162
23,0.22647233,0.018193183,0.04144193,0.21,22,24,2,0,3,0.019135013,-8.381903e-09,11.062804,2.2274683,118.70525,0.66413736,-0.6575461,0.35574502
24,0.15978843,0.012779226,0.017538343,0.245,23,4294967295,2,0,4,0.015471358,-3.423171e-05,11.188407,2.092118,118.85721,0.16386719,-0.43368614,0.88603836
25,0.18258104,0.018619565,0.023853002,0.1375,22,26,34,0,4,0.021160204,-4.7412785e-10,10.9699135,2.0692613,118.65857,0.08762074,0.35751483,0.929788
26,0.10783249,0.012299909,0.012299909,0.03,25,4294967295,34,0,3,0.032911055,7.761022e-11,10.978668,2.1062849,118.82627,-0.5448184,-0.69432217,0.47020185
27,0.1749874,0.0050000004,0.005,0.05,23,4294967295,35,0,0,0.062021215,0.005,11.074525,2.2322333,118.69218,0.7605637,0.15551187,-0.6303641
28,0.15576603,0.0050000004,0.005,0.05,24,4294967295,36,0,0,0.030513002,0.005,11.179016,2.0990899,118.86236,-0.18902543,-0.08051061,0.9786661
29,0.24552675,0.027241454,0.026466234,0.2325,18,30,5,0,4,0.013411231,-2.483527e-09,10.5440855,1.9993616,118.06005,-0.6820301,-0.022600202,0.73097485
30,0.01181085,0.029785998,0.03291916,0.125,29,4294967295,5,0,4,0.10682735,-0.00031226999,10.427084,1.8519664,118.27057,-0.45677793,0.8876365,-0.058782805
31,0.35600403,0.025509499,0.022718426,0.4175,11,32,42,0,4,0.04271575,-0.0002833287,10.512624,2.0362089,116.331535,-0.39520514,-0.60489994,0.69130963
32,0.27513272,0.025509499,0.028135717,0.605,31,33,42,0,4,0.019605054,-0.000109504246,10.371828,1.8260148,116.579666,-0.30120185,-0.21985455,0.9278692
33,0.19146675,0.025509499,0.042197973,0.455,32,34,42,0,4,0.03845159,-0.0004445259,10.300077,1.7640672,116.83822,-0.38460422,-0.4044966,0.8297362
34,0.16432223,0.025509499,0.023353875,0.025,33,35,42,0,3,0.032239377,-8.381903e-10,10.2264385,1.6866195,116.997086,-0.62447643,0.3337474,0.7061459
35,0.105845675,0.025509499,0.015450016,0.045,34,4294967295,42,0,3,0.009180721,-3.62181e-10,10.123823,1.7414616,117.11312,-0.023381067,-0.2434762,0.969625
36,0.12543383,0.0050000004,0.005,0.05,16,4294967295,8,0,0,0.026979819,0.005,10.454956,2.0255404,117.68813,-0.46639886,0.2836853,-0.8378514
37,0.20472017,0.01586673,0.013145348,0.0925,15,38,9,0,3,0.01875883,2.2905502e-09,10.570872,2.001509,117.54665,0.75241077,0.65782255,0.033876095
38,0.22485341,0.01413087,0.018556055,0.1275,37,4294967295,9,0,4,0.037597366,3.452703e-05,10.724745,2.1365788,117.555855,0.6741359,0.734791,-0.074986465
39,0.11316657,0.0050000004,0.005,0.05,16,4294967295,10,0,0,0.039150175,0.005,10.500217,2.0318458,117.71462,0.90168226,0.43207592,0.016719513
40,0.095496,0.0050000004,0.005,0.05,16,4294967295,11,0,0,0.032151863,0.005,10.473416,2.0449429,117.69865,0.15325339,0.86730325,-0.47360152
41,0.14146866,0.0050000004,0.005,0.05,18,4294967295,13,0,0,0.03717113,0.005,10.589634,1.9862411,118.02491,0.7793549,-0.5908588,-0.20854703
42,0.21142432,0.0050000004,0.005,0.05,21,4294967295,14,0,0,0.053169534,0.005,10.91309,1.91739,118.35609,0.93521506,-0.05570899,0.34967044
43,0.32026076,0.024068825,0.03050188,0.0925,17,44,16,0,3,0.022148674,2.9198222e-09,10.432933,2.0643756,117.886215,-0.63277775,-0.16432649,0.75669616
44,0.14627832,0.01861131,0.01329369,0.13,43,45,16,0,3,0.011952449,0.00010047113,10.227589,2.016314,118.125496,-0.6823009,-0.15671295,0.71407735
