,length,radius,unmodradius,surfacecoverage,parent,extension,branch,added,numlayers,meanpointdist,mad,x,y,z,dx,dy,dz
0,0.6016318,0.045419376,0.07900903,0.565,4294967295,1,0,0,3,0.04292091,-0.0010357249,-27.217472,-6.2540607,113.70243,0.50066215,-0.5330488,0.682053
1,0.37550652,0.035256106,0.035256106,0.9325,0,2,0,0,4,0.004206279,0.00038539967,-26.976778,-6.5310836,114.19134,0.032594524,-0.070127495,0.9970054
2,0.2451239,0.0363355,0.0363355,0.905,1,3,0,0,3,0.0050912034,0.00026764456,-26.964628,-6.564999,114.565186,0.10001905,0.07695958,0.99200475
3,0.32398927,0.031697266,0.031697266,0.8975,2,4,0,0,4,0.00584619,0.000423843,-26.945013,-6.5333214,114.807846,0.017302109,0.057619732,0.9981886
4,0.29594773,0.030253662,0.030253662,0.9225,3,5,0,0,4,0.0035997748,-1.1693076e-05,-26.934729,-6.5218816,115.131584,0.023195136,-0.017621923,0.9995756
5,0.30168507,0.028363673,0.025733797,0.86,4,6,0,0,4,0.0067970203,0.00048095023,-26.921585,-6.5358415,115.42711,-0.054138,0.035861764,0.9978892
6,0.3243964,0.028826434,0.027599527,0.845,5,7,0,0,4,0.005041271,-0.00016473942,-26.93835,-6.5214057,115.728004,-0.037994523,-0.005241739,0.99926424
7,0.19575265,0.02842815,0.02635093,0.795,6,8,0,0,3,0.007516078,3.791926e-05,-26.942263,-6.5345845,116.05242,-0.00690826,0.040526345,0.99915457
8,0.2617399,0.02914985,0.028343733,0.725,7,9,0,0,4,0.008278566,-0.00010222658,-26.967962,-6.5242186,116.24774,0.22008774,-0.03069729,0.974997
9,0.20910218,0.0284135,0.026101176,0.7625,8,10,0,0,3,0.0066352044,0.00026467795,-26.902182,-6.535721,116.500984,0.027437804,0.02973417,0.9991812
10,0.2587416,0.032692973,0.036038704,0.76,9,11,0,0,4,0.017468765,0.00011070449,-26.890446,-6.5350385,116.709915,0.26346225,0.10343142,0.9591087
11,0.22329417,0.029435674,0.029497406,0.5975,10,12,0,0,4,0.014221633,0.00024541627,-26.814585,-6.543662,116.95978,0.063406266,0.09990352,0.9929747
12,0.17047651,0.028579313,0.026363745,0.5375,11,13,0,0,3,0.007145602,-0.00020676434,-26.799465,-6.5224833,117.18156,0.0039382945,-0.12185777,0.99253976
13,0.17502932,0.029956063,0.032366235,0.39,12,14,0,0,3,0.011898006,0.00013945509,-26.767002,-6.5844254,117.34558,-0.4503967,0.31530273,0.83530056
14,0.20130965,0.03226376,0.061007407,0.235,13,15,0,0,3,0.029299796,0.0009936332,-26.849588,-6.591515,117.51327,-0.22283548,0.9613623,0.1616384
15,0.19930726,0.02891533,0.022040581,0.095,14,4294967295,0,0,3,0.030186728,-0.00012520504,-26.818424,-6.3910556,117.609406,0.971229,-0.19170643,-0.14128986
16,0.2451841,0.0050000004,0.005,0.05,1,4294967295,1,0,0,0.058302924,0.005,-27.000744,-6.506583,114.18307,-0.6575334,0.71388245,-0.24087673
17,0.23566481,0.0050000004,0.005,0.05,1,4294967295,2,0,0,0.03279033,0.005,-26.982737,-6.5009637,114.17401,-0.12764229,0.85969156,-0.4946088
18,0.41471922,0.033936568,0.029811919,0.0875,0,19,3,0,3,0.046072867,-0.00032735095,-27.246914,-6.2882643,113.69731,-0.33466968,-0.83869666,0.42963254
19,0.23394345,0.033775225,0.039308257,0.1575,18,20,3,0,4,0.28760564,0.00011961539,-27.396399,-6.6226225,113.851234,-0.016191924,0.5309785,-0.84723055
20,0.25071704,0.029880667,0.030395243,0.0825,19,4294967295,3,0,3,0.25103748,1.4110948e-09,-27.359379,-6.44024,113.688705,-0.0056904657,-0.45030755,-0.8928554
21,0.198806,0.0050000004,0.005,0.05,20,4294967295,12,0,0,0.030835101,0.005,-27.370726,-6.4648914,113.70121,-0.17442887,-0.85052663,-0.4961643
22,0.08876107,0.0050000004,0.005,0.05,19,4294967295,13,0,0,0.06345936,0.005,-27.415913,-6.6170416,113.87823,-0.50027543,0.17528228,0.8479391
23,0.361918,0.027469564,0.08557695,0.2725,15,24,4,0,3,0.0629583,-0.001033273,-26.843752,-6.381432,117.599304,0.071852714,0.4196986,-0.9048151
24,0.34732512,0.027469564,0.0891161,0.3525,23,25,4,0,4,0.08066397,-0.0008457569,-26.801964,-6.2275653,117.28997,-0.07330103,0.21415758,-0.97404486
25,0.27274564,0.022902273,0.021889456,0.2075,24,26,4,0,3,0.017376391,-5.1472292e-05,-26.785826,-6.18193,116.94221,0.11410008,0.95391333,-0.27754378
26,0.193719,0.022968689,0.026925879,0.15,25,4294967295,4,0,4,0.014411359,-0.0008432566,-26.741499,-5.919514,116.87964,0.56697935,0.45714524,0.68523914
27,0.43176803,0.026096085,0.046989795,0.1125,23,28,23,0,3,0.042062473,-8.443991e-09,-26.870422,-6.37492,117.600204,-0.5990967,0.56939214,-0.5629171
28,0.05156599,0.005,0.0044049686,0.035,27,4294967295,23,0,3,0.029922398,6.6523044e-11,-27.142015,-6.0634317,117.378815,0.6440452,0.6854127,0.33972818
