,length,radius,unmodradius,surfacecoverage,parent,extension,branch,added,numlayers,meanpointdist,mad,x,y,z,dx,dy,dz
0,0.37768325,0.04584586,0.04584586,0.3875,4294967295,1,0,0,4,0.0039369864,0.00080014317,-40.896275,-18.571665,139.12276,0.0004942618,-0.02770349,0.9996161
1,0.17980237,0.04392499,0.04392499,0.4575,0,2,0,0,4,0.0077253934,-0.00045251285,-40.90333,-18.600557,139.49979,0.041986577,0.15746558,0.98663145
2,0.17279668,0.046527386,0.046527386,0.6525,1,3,0,0,4,0.007347186,-0.00013448192,-40.908413,-18.573584,139.67793,0.048258614,0.07532406,0.9959907
3,0.14007004,0.041884456,0.041884456,0.5125,2,4,0,0,3,0.0015783611,5.7111567e-05,-40.9027,-18.560331,139.85014,-0.032735523,-0.03525469,0.998842
4,0.12768541,0.04188782,0.04188782,0.5175,3,5,0,0,3,0.0018828793,2.7041711e-05,-40.907967,-18.563597,139.99008,-0.02177942,-0.015505513,0.99964255
5,0.14961453,0.040645417,0.040645417,0.6175,4,6,0,0,4,0.004520817,0.00015168598,-40.908966,-18.578325,140.11757,-0.03345185,0.19971673,0.9792825
6,0.15709198,0.043239024,0.043239024,0.485,5,7,0,0,4,0.002581491,-0.00025483902,-40.921024,-18.553865,140.26495,-0.11682652,0.045385316,0.9921148
7,0.1570309,0.043094575,0.043740414,0.585,6,8,0,0,4,0.0031683086,9.854924e-05,-40.941536,-18.549938,140.4207,-0.07251357,0.041953415,0.9964847
8,0.15917963,0.040198978,0.035054956,0.475,7,9,0,0,4,0.010531148,0.00014126883,-40.951065,-18.534323,140.57693,-0.0065903016,-0.054963116,0.9984666
9,0.16631353,0.040863983,0.039532084,0.645,8,10,0,0,4,0.0027758598,0.000119017815,-40.9645,-18.546434,140.73561,-0.1241568,0.04089628,0.9914195
10,0.12503348,0.040803757,0.03960053,0.495,9,11,0,0,3,0.0030498747,3.249859e-05,-40.982742,-18.536861,140.90068,-0.14327218,0.080178715,0.9864301
11,0.15628175,0.04019101,0.03916696,0.5175,10,12,0,0,4,0.007331982,8.626721e-05,-41.002083,-18.511734,141.02258,0.03180506,-0.02378667,0.999211
12,0.14742197,0.04041698,0.04160641,0.4475,11,13,0,0,4,0.012537602,0.00050301047,-40.999798,-18.503115,141.17912,-0.15611017,-0.014257699,0.9876368
13,0.11603072,0.03825244,0.03734793,0.4625,12,14,0,0,3,0.011184302,6.028106e-05,-41.005856,-18.500656,141.32747,-0.25015816,-0.073791556,0.9653889
14,0.16482168,0.036644284,0.035006683,0.47,13,15,0,0,4,0.012225387,2.7678625e-05,-41.045086,-18.505363,141.43713,-0.42395893,0.14138907,0.89457697
15,0.1623279,0.035042487,0.03256577,0.4425,14,16,0,0,4,0.0043503568,-6.353251e-05,-41.101585,-18.477757,141.59024,-0.32479277,0.021361453,0.94554394
16,0.16085751,0.033334136,0.03098286,0.53,15,17,0,0,4,0.0035681608,0.00011813743,-41.154564,-18.473494,141.74362,-0.22512421,0.008003731,0.97429717
17,0.12149326,0.032422043,0.030568384,0.34,16,18,0,0,3,0.004678199,7.6654505e-05,-41.188625,-18.472775,141.90085,-0.21539322,-0.050221786,0.97523516
18,0.16901392,0.031184055,0.023291426,0.075,17,4294967295,0,0,3,0.027362028,-1.5211602e-09,-41.14421,-18.459532,142.03592,0.81927985,-0.49728045,-0.28546932
19,0.1403335,0.0050000004,0.005,0.05,0,4294967295,1,0,0,0.020524865,0.005,-40.852116,-18.559341,139.12308,0.78860843,0.1840023,0.5867197
20,0.20236386,0.03156761,0.03334806,0.19,0,21,3,0,4,0.012464574,-0.00048378576,-40.899307,-18.600866,139.08754,0.18130589,0.15180457,-0.97163963
21,0.072758645,0.023165757,0.023165757,0.06,20,4294967295,3,0,3,0.0058335876,-4.268562e-10,-40.861404,-18.569338,138.89148,0.05552281,-0.49999365,-0.8642474
22,0.19934028,0.0050000004,0.005,0.05,0,4294967295,4,0,0,0.016378546,0.005,-40.89415,-18.617443,139.12149,0.08640179,-0.7916815,0.6047934
23,0.15801734,0.010559886,0.009740367,0.0475,1,24,5,0,3,0.010793366,2.450849e-10,-40.9471,-18.603445,139.5021,-0.7067762,-0.20556065,0.6769138
24,0.111975804,0.008989548,0.015132078,0.0675,23,25,5,0,3,0.0039823516,-4.1392115e-10,-41.05784,-18.631048,139.61221,-0.41340494,-0.63889545,0.6487749
25,0.11848295,0.0060484977,0.0060484977,0.0575,24,4294967295,5,0,3,0.0066427854,6.073843e-11,-41.11341,-18.699339,139.68214,-0.4615643,-0.36534604,0.8083815
26,0.114708506,0.01060209,0.0070081386,0.0425,2,27,6,0,3,0.009204458,-8.217552e-11,-40.927013,-18.602146,139.64627,-0.14645755,-0.98398256,-0.10162903
27,0.10363253,0.00937421,0.013450684,0.07,26,28,6,0,4,0.005273242,-0.00034295119,-40.946835,-18.71296,139.64008,0.24655233,-0.7640619,0.5961722
28,0.12030491,0.0072111273,0.010351483,0.0425,27,4294967295,6,0,3,0.004768622,-2.7391842e-10,-40.950912,-18.783632,139.72502,0.9298539,-0.36664626,0.0306939
29,0.09700995,0.0050000004,0.005,0.05,28,4294967295,41,0,0,0.011728995,0.005,-40.94829,-18.776937,139.72559,0.9479927,0.31102324,0.06763512
30,0.1436877,0.0050000004,0.005,0.05,1,4294967295,7,0,0,0.051572252,0.005,-40.928726,-18.565014,139.4952,-0.49396196,0.85082734,0.1791495
31,0.11795101,0.015014569,0.011737497,0.1525,3,32,9,0,4,0.017299224,-1.4351528e-09,-40.936935,-18.544796,139.83168,-0.44783095,0.3725564,0.81280327
32,0.15232481,0.014539046,0.012291222,0.195,31,33,9,0,4,0.004735742,-5.5809654e-05,-40.978527,-18.49841,139.927,-0.22824351,-0.09789378,0.9686701
33,0.15311779,0.013556738,0.013064852,0.175,32,34,9,0,4,0.005497395,2.3416111e-09,-40.99743,-18.505754,140.07906,-0.25486493,-0.29617146,0.9205033
34,0.15715733,0.011937381,0.012570088,0.185,33,35,9,0,4,0.005395433,-4.710379e-05,-41.03007,-18.55711,140.21983,-0.14738633,-0.71395713,0.6845017
35,0.121840686,0.010172878,0.018063257,0.1525,34,36,9,0,4,0.0087331785,1.5878286e-09,-41.0457,-18.673424,140.32474,-0.41725364,-0.665815,0.61853856
36,0.07375735,0.008364664,0.023022592,0.075,35,4294967295,9,0,3,0.015578833,1.8626452e-10,-41.10222,-18.75054,140.40059,-0.6874046,-0.6449687,0.33390144
37,0.18311518,0.010383721,0.009387557,0.0675,34,38,42,0,3,0.007366751,9.063292e-05,-41.03771,-18.549473,140.22491,-0.8193732,0.36937624,0.4383934
38,0.101656936,0.011340512,0.016443163,0.0875,37,4294967295,42,0,4,0.016153766,5.3218433e-11,-41.192863,-18.485315,140.29459,-0.49735907,0.49034184,0.7156807
39,0.13437103,0.0066098166,0.005383446,0.0425,35,40,43,0,3,0.019016778,-8.217552e-11,-41.03915,-18.667522,140.31966,0.9775282,-0.11669415,-0.17555933
40,0.09967116,0.0065489816,0.005106681,0.0525,39,41,43,0,3,0.0025850954,2.5412714e-05,-40.90826,-18.682966,140.29454,0.89554393,-0.43701684,-0.08376998
41,0.082735255,0.006453672,0.0056521697,0.0375,40,42,43,0,3,0.0018424027,1.5522044e-11,-40.815296,-18.720678,140.29529,0.7729885,-0.5610333,-0.29619315
42,0.09331153,0.0063183196,0.0062097963,0.0475,41,43,43,0,3,0.0028789781,5.882037e-10,-40.752804,-18.767479,140.26752,0.87141913,-0.4733421,-0.12874758
43,0.10004333,0.0060943333,0.0053764065,0.065,42,44,43,0,3,0.0039484645,2.6865074e-11,-40.67111,-18.81074,140.25475,0.8098908,-0.54006064,-0.22893523
44,0.1710436,0.0058377576,0.014012005,0.075,43,45,43,0,4,0.013614639,7.937572e-06,-40.6163,-18.90132,140.22533,0.98793316,0.09749531,-0.12034421
45,0.08294277,0.0055178623,0.009174284,0.045,44,4294967295,43,0,3,0.018920148,-6.9849193e-10,-40.45493,-18.82066,140.19412,0.9240237,0.08759161,-0.37216663
46,0.096368335,0.007946431,0.0247515,0.0475,36,47,44,0,3,0.01483455,1.5685433e-09,-41.099316,-18.751307,140.39278,-0.5121449,-0.4965684,-0.7008049
47,0.19698901,0.007946431,0.017740123,0.0475,46,4294967295,44,0,3,0.029586324,-8.823056e-10,-41.15378,-18.777903,140.30022,0.7909645,-0.5481367,-0.27188495
48,0.13280907,0.0050000004,0.005,0.05,36,4294967295,45,0,0,0.025148151,0.005,-41.096992,-18.752972,140.40665,0.34884286,-0.52106696,0.7789723
49,0.12586325,0.007203974,0.005231666,0.0375,38,50,84,0,3,0.043653645,-1.2417635e-10,-41.196033,-18.4952,140.29915,-0.76482916,-0.48687202,0.4218911
50,0.1057822,0.0055368156,0.008517892,0.065,49,4294967295,84,0,3,0.018087352,-7.5222206e-10,-41.28504,-18.565876,140.35242,-0.905548,-0.3865465,0.17482764
51,0.14571448,0.0050000004,0.005,0.05,45,4294967295,85,0,0,0.034749627,0.005,-40.453697,-18.826027,140.19447,0.7524705,-0.6371508,-0.16681425
52,0.12932234,0.0050000004,0.005,0.05,47,4294967295,86,0,0,0.06016234,0.005,-41.159042,-18.783855,140.30042,-0.61732554,-0.7863025,0.025249938
53,0.16071732,0.005,0.0034307365,0.025,3,54,10,0,3,0.007510397,-1.8626452e-10,-40.867428,-18.537827,139.8521,0.6798781,0.3507743,0.6439901
54,0.09742227,0.005,0.0024210957,0.0275,53,55,10,0,3,0.0037594805,1.5874817e-10,-40.755188,-18.485018,139.95372,0.49799,0.39559627,0.7716927
55,0.10345664,0.0052842866,0.0057460708,0.045,54,56,10,0,3,0.002469333,7.761022e-11,-40.69895,-18.44545,140.02339,0.25146994,0.39726353,0.8825784
56,0.10435887,0.005106281,0.0066532604,0.045,55,4294967295,10,0,3,0.0103855785,-4.1392115e-10,-40.666706,-18.404675,140.11307,0.13758793,0.5693962,0.8104675
57,0.12802212,0.0050000004,0.005,0.05,7,4294967295,12,0,0,0.032631204,0.005,-40.956272,-18.51519,140.3999,-0.2720184,0.82564986,-0.4942755
58,0.18432392,0.012356914,0.008145473,0.06,7,59,13,0,3,0.011847722,-9.313226e-10,-40.963234,-18.512838,140.41756,-0.13654968,0.9003214,0.4132501
59,0.14502786,0.0106296735,0.011818851,0.0925,58,60,13,0,4,0.013579825,-2.5050984e-05,-41.00227,-18.34601,140.48376,-0.06262793,0.8971496,0.43726444
60,0.14585976,0.009107745,0.01812459,0.0675,59,4294967295,13,0,4,0.014215031,-5.5189486e-10,-41.005775,-18.196733,140.50865,-0.12728755,0.50471723,0.8538492
61,0.12972088,0.0050000004,0.005,0.05,58,4294967295,46,0,0,0.027968671,0.005,-40.97545,-18.514025,140.4161,-0.99075,0.13487504,-0.014938737
62,0.13048686,0.0050000004,0.005,0.05,60,4294967295,81,0,0,0.03130133,0.005,-41.0001,-18.202461,140.51288,0.49262786,-0.20763691,0.8451063
63,0.13445534,0.0050000004,0.005,0.05,7,4294967295,14,0,0,0.021262238,0.005,-40.906837,-18.524422,140.42215,0.67056,0.48923784,0.5576699
64,0.123238035,0.005,0.0030258556,0.0275,8,65,15,0,3,0.019254979,-1.2699854e-10,-40.97615,-18.561594,140.56134,-0.59010506,-0.7796048,0.2097436
65,0.07493516,0.005060562,0.0063044163,0.0325,64,4294967295,15,0,3,0.0043370537,2.507407e-10,-41.051132,-18.649052,140.59111,-0.22663637,-0.65745926,0.7185981
66,0.15482934,0.01764867,0.012966098,0.1575,9,67,16,0,4,0.01847158,7.681684e-05,-40.964325,-18.510101,140.7169,0.06117635,0.8220741,0.56608444
67,0.1488788,0.017520247,0.018835569,0.2,66,68,16,0,4,0.016930874,0.0008029241,-40.97169,-18.38194,140.80539,0.2445956,0.50920266,0.8251579
68,0.15426727,0.01654954,0.020999849,0.1825,67,69,16,0,4,0.009334884,-0.0003291882,-40.943085,-18.307575,140.93144,0.10556318,0.5895737,0.80078655
69,0.11033855,0.0141361095,0.038166337,0.0325,68,4294967295,16,0,3,0.0359844,3.4387295e-09,-40.960346,-18.194239,141.04292,-0.4655209,0.82353806,0.32415327
70,0.21085413,0.0050000004,0.005,0.05,69,4294967295,47,0,0,0.068934046,0.005,-40.955143,-18.1964,141.0559,0.3870164,-0.11161638,0.9152923
71,0.16333033,0.0050000004,0.005,0.05,69,4294967295,48,0,0,0.10304707,0.005,-40.950592,-18.192707,141.05304,0.51382583,0.39529553,0.7613964
72,0.19930474,0.0050000004,0.005,0.05,9,4294967295,17,0,0,0.17010097,0.005,-40.925888,-18.559635,140.73781,0.95011073,-0.3076663,0.051295258
73,0.15544318,0.008534178,0.007923411,0.035,11,74,19,0,3,0.029503632,3.0028292e-05,-40.969376,-18.534979,141.02031,0.78280187,-0.5837761,-0.21546808
74,0.08613193,0.008426893,0.003906491,0.045,73,75,19,0,3,0.005192545,-5.1740143e-11,-40.855522,-18.631216,140.98048,0.69454014,-0.6457115,-0.3172864
75,0.09157271,0.008209268,0.0059394673,0.055,74,76,19,0,3,0.0049041193,4.1274523e-10,-40.797432,-18.688135,140.95201,0.7582929,-0.6046181,-0.24378015
76,0.10441223,0.0078626,0.009586341,0.06,75,77,19,0,3,0.0026175221,-6.9849193e-10,-40.721867,-18.73548,140.92885,0.61382395,-0.7886438,-0.03551199
77,0.10950824,0.007290629,0.008486117,0.04,76,78,19,0,3,0.005084022,5.2386895e-10,-40.65086,-18.813269,140.94351,0.4305581,-0.77549225,-0.46177006
78,0.09622169,0.0065837316,0.010237833,0.05,77,79,19,0,3,0.0038974676,-1.0710209e-09,-40.610287,-18.898918,140.88803,0.7298226,-0.6473414,-0.2197912
79,0.1078712,0.005742726,0.009390275,0.0375,78,4294967295,19,0,3,0.022229716,-1.5211602e-09,-40.543644,-18.956966,140.8425,0.5686796,-0.7552394,0.32590953
80,0.084142014,0.0050000004,0.005,0.05,78,4294967295,49,0,0,0.019095484,0.005,-40.61265,-18.900038,140.89407,-0.25338522,-0.17633599,0.951158
81,0.14189963,0.0047500003,0.005,0.05,80,4294967295,87,0,0,0.017357746,0.005,-40.609585,-18.896383,140.89557,0.48101872,0.54598165,0.6859483
82,0.10476551,0.012173888,0.0078059128,0.0375,12,83,20,0,3,0.04703486,6.2088175e-11,-40.961838,-18.512953,141.16933,0.8514891,-0.4688743,0.23478307
83,0.09716952,0.011641195,0.0072429264,0.0575,82,84,20,0,3,0.004986987,-1.2682984e-05,-40.87597,-18.559278,141.2016,0.6947299,-0.4709885,0.5436177
84,0.07836846,0.010727062,0.016209107,0.0775,83,85,20,0,3,0.0054201544,2.403413e-09,-40.814976,-18.605387,141.26245,0.7520509,-0.353829,0.55607957
85,0.16028403,0.008942679,0.0072171763,0.055,84,86,20,0,3,0.0061563575,-6.4141444e-05,-40.729027,-18.564009,141.31348,-0.039340753,-0.9990481,-0.01884929
86,0.09390622,0.0065405276,0.007865308,0.0675,85,4294967295,20,0,3,0.010077002,9.65816e-10,-40.732616,-18.724297,141.31306,-0.087541305,-0.9758723,-0.20002477
87,0.09041527,0.0050000004,0.005,0.05,86,4294967295,50,0,0,0.019717395,0.005,-40.72935,-18.720617,141.31737,0.57999766,0.5289467,0.6195305
88,0.11394185,0.0050000004,0.005,0.05,84,4294967295,82,0,0,0.022781072,0.005,-40.822807,-18.612532,141.26082,-0.6879668,-0.7074518,-0.16190606
