,length,radius,unmodradius,surfacecoverage,parent,extension,branch,added,numlayers,meanpointdist,mad,x,y,z,dx,dy,dz
0,0.38552418,0.06886215,0.06886215,0.5625,4294967295,1,0,0,3,0.01465698,-0.00088716566,45.147858,38.211277,116.97584,-0.09743,-0.04885962,0.99404234
1,0.35305312,0.0793973,0.0793973,0.5425,0,2,0,0,4,0.020943431,-0.0017920964,45.08261,38.183414,117.3559,0.2901651,0.010080955,0.95692354
2,0.22822918,0.052605797,0.052605797,0.83,1,3,0,0,3,0.003238763,0.00049311825,45.126957,38.207542,117.71115,-0.045646828,-0.004278868,0.9989485
3,0.236858,0.05133358,0.05133358,0.8275,2,4,0,0,3,0.002024261,0.0008486939,45.116985,38.204636,117.939156,-0.017957542,0.020373356,0.99963117
4,0.20075978,0.050659183,0.050659183,0.7975,3,5,0,0,3,0.0035681282,0.0005083177,45.11446,38.20666,118.17602,0.057003904,0.044577055,0.99737835
5,0.16681834,0.04916265,0.04916265,0.835,4,6,0,0,3,0.0023694488,0.00010553751,45.126755,38.221428,118.375946,0.0018065225,-0.004024658,0.9999903
6,0.22037512,0.047584828,0.047584828,0.96,5,7,0,0,4,0.0020367696,0.0003915943,45.128918,38.221317,118.54276,-3.4620036e-05,0.042426854,0.9990996
7,0.23708782,0.047925495,0.047925495,0.895,6,8,0,0,4,0.003014319,0.00026501832,45.13153,38.234085,118.762794,-0.038132843,0.019597385,0.9990805
8,0.24480815,0.044902455,0.044902455,0.8925,7,9,0,0,4,0.003509615,0.00026874346,45.118702,38.226852,118.999756,-0.02557071,0.08710559,0.9958708
9,0.19308041,0.047019262,0.046158582,0.9225,8,10,0,0,3,0.0020347135,4.9530405e-05,45.111732,38.237747,119.244446,-0.06391402,0.06000213,0.9961499
10,0.23977494,0.047931477,0.047452107,0.8975,9,11,0,0,4,0.005476606,5.0575276e-05,45.085815,38.251568,119.435776,-0.0006681986,0.028509807,0.9995933
11,0.2234184,0.044592176,0.04217352,0.84,10,12,0,0,4,0.0022715998,0.00045312115,45.084854,38.25999,119.67541,-0.031467807,0.08105137,0.9962131
12,0.16048923,0.049075764,0.049641747,0.775,11,13,0,0,3,0.006536635,0.00039489107,45.07653,38.274223,119.898254,0.005015297,0.21444553,0.9767231
13,0.22350821,0.04378286,0.041625746,0.77,12,14,0,0,4,0.008068272,0.0004750242,45.088203,38.30858,120.05496,0.17420664,-0.20922889,0.9622242
14,0.22412826,0.040595926,0.037197296,0.8625,13,15,0,0,4,0.0034412388,0.0003045391,45.119587,38.2699,120.273155,0.004765643,0.029291684,0.9995595
15,0.20236945,0.04214759,0.041265823,0.795,14,16,0,0,4,0.0050216243,0.00010127144,45.120625,38.273205,120.497284,0.06967021,0.08424138,0.9940068
16,0.14887895,0.042923033,0.04405952,0.685,15,17,0,0,3,0.0093889,0.00014741138,45.13803,38.29696,120.69764,0.44786114,0.027749505,0.89367247
17,0.1899443,0.042132244,0.044449504,0.6575,16,18,0,0,4,0.018372366,0.0009228545,45.205383,38.31395,120.82995,0.039423402,-0.06396513,0.99717313
